2022-07-29 21:19:55,578 - __main__ - ERROR - Could not find library in database! file_path: /root/yanhui/libraries/contentdock-sdk-ios-universal_1.5.0
2022-07-29 21:42:31,391 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,391 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,391 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,391 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,396 - __main__ - DEBUG - processing library: CBHPreferencesManager, version: 1.0.0
2022-07-29 21:42:31,409 - __main__ - DEBUG - parse_code_files
2022-07-29 21:42:31,410 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,410 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,410 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,410 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,410 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,410 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,410 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,410 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,411 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,411 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,414 - __main__ - DEBUG - processing library: lottie-ios, version: 3.1.0
2022-07-29 21:42:31,439 - __main__ - DEBUG - parse_code_files
2022-07-29 21:42:31,440 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,440 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,440 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,440 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,444 - __main__ - DEBUG - parse_code_files
2022-07-29 21:42:31,444 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,445 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,445 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,445 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,445 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,445 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,445 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,445 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,446 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,447 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,447 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,447 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,450 - __main__ - DEBUG - processing library: StreamingKit, version: 0.1.21
2022-07-29 21:42:31,488 - __main__ - DEBUG - parse_code_files
2022-07-29 21:42:31,488 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,489 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,489 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,489 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,489 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,489 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,489 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,490 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,490 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,490 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,490 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,491 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,495 - __main__ - DEBUG - processing library: TLYShyNavBar, version: 0.10.1
2022-07-29 21:42:31,512 - __main__ - DEBUG - parse_code_files
2022-07-29 21:42:31,512 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,513 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,513 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,513 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,513 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,514 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,514 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,514 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,514 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,514 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,543 - __main__ - DEBUG - processing library: ExtendedAlertController, version: 0.0.2
2022-07-29 21:42:31,560 - __main__ - DEBUG - parse_code_files
2022-07-29 21:42:31,561 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,561 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,561 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,561 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,562 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,562 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,566 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,570 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,571 - __main__ - DEBUG - method signs: []
2022-07-29 21:42:31,571 - __main__ - DEBUG - strings: []
2022-07-29 21:42:31,576 - __main__ - DEBUG - processing library: CTMediator, version: 35
